GameFileName,GameName,GameDisplay,GameRating,MediaSearch,Manufact,GameYear,NumPlayers,GameType,GKeepDisplays,Category,GameTheme,CUSTOM5,WebLinkURL,IPDBNum,AltRunMode,DesignedBy,Author,GAMEVER,ROM,Tags
Polo (Gottlieb 1970) Loserman76 1.0b,Polo (Gottlieb 1970),Polo (Gottlieb 1970),7090,,Gottlieb,1970,4,EM,"0,1,5",E,Leisure and Travel,,https://www.ipdb.org/machine.cgi?id=1843,1843,,Ed Krynski,Loserman76,1.0b,,
Pool Sharks (Bally 1990) JPSalas 5.5.0,Pool Sharks (Bally 1990),Pool Sharks (Bally 1990),8684,,Bally,1990,4,SS alpha,"0,5",M,Billiards,,http://www.ipdb.org/machine.cgi?id=1848,1848,,Tony Kraemer,"JPSalas, Akiles50000, Kiwi",5.5.0,pool_l7,
Pop-A-Card (Gottlieb 1972) LeeOneil 1.2.0,Pop-A-Card (Gottlieb 1972),Pop-A-Card (Gottlieb 1972),7802,,Gottlieb,1972,1,EM,"0,1,5",E,Card and Casino,,https://www.ipdb.org/machine.cgi?id=1849,1849,,Ed Krynski,"LeeOneil, Loserman76, GNance",1.2.0,,
Popeye Saves the Earth (Bally 1994) TastyWasps 1.25.0,Popeye Saves the Earth (Bally 1994),Popeye Saves the Earth (Bally 1994),8488,,Bally,1994,4,SS dmd,"0,5",E,Cartoons,,http://www.ipdb.org/machine.cgi?id=1851,1851,,Barry Oursler,"TastyWasps, Psiomicron, JPJ, Mfuegemann, Dark",1.25.0,pop_lx5,
Post Time (Williams 1969) Bord 1.1.0,Post Time (Williams 1969),Post Time (Williams 1969),7602,,Williams,1969,1,EM,"0,1,5",E,Sports,Horse,http://www.ipdb.org/machine.cgi?id=1853,1853,,Norm Clark,"Bord, Scottacus",1.1.0,,Music
"Power Play, Bobby Orr (Bally 1978) Bord 2.1RL","Power Play, Bobby Orr (Bally 1978)","Power Play, Bobby Orr (Bally 1978)",8590,,Bally,1978,4,SS,"0,5",E,Sports,Winter,http://www.ipdb.org/machine.cgi?id=1858,1858,,Greg Kmiec,"Bord, Arngrim, TheLoafer",2.1RL,,
Prospector (Sonic 1977) Loserman76 1.0.0f,Prospector (Sonic 1977),Prospector (Sonic 1977),8314,,Sonic,1977,4,EM,"0,1,5",E,Wild West,,http://www.ipdb.org/machine.cgi?id=1871,1871,,?,"Loserman76, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.0.0f,,
Punchy The Clown (Alvin G 1993) JPSalas 5.5.0,Punchy The Clown (Alvin G 1993),Punchy The Clown (Alvin G 1993),5530,,Alvin G,1993,4,SS alpha,"0,5",E,Circus and Amusements,,https://www.ipdb.org/machine.cgi?id=3508,3508,,"Michael Gottlieb, Jim Shird, Andy G. Reynolds",JPSalas,5.5.0,punchy,
Punk Park (Original 2025) Tombg 1.0.2,Punk Park (Original 2025),Punk Park (Original 2025),5622,,Original,2025,4,SS dmd,-1,E,Sports,Surf-Skate-Cycle,,,,Tombg,Tombg,1.0.2,,"Music, PuP, FlexDMD"
Q-Berts Quest (Gottlieb 1983) Bord 2.2,Q-Berts Quest (Gottlieb 1983),Q-Berts Quest (Gottlieb 1983),8530,,Gottlieb,1983,4,SS,"0,1,5",E,Games and Game Shows,,http://www.ipdb.org/machine.cgi?id=http://www.ipdb.org/machine.cgi?gid=1885,1885,,John Trudeau,Bord,2.2,qbquest,
